2.75,0.10197,0.67024
2.75004,0.09375,0.67043
2.75007,0.08755,0.67059
2.75011,0.08337,0.67074
2.75015,0.08121,0.67086
2.75018,0.08108,0.67097
2.75022,0.07996,0.67106
2.75025,0.08616,0.67113
2.75029,0.09501,0.67118
2.75033,0.09915,0.67121
2.75036,0.10753,0.67122
2.7504,0.11292,0.67121
2.75044,0.12103,0.67118
2.75047,0.12723,0.67095
2.75051,0.1352,0.67077
2.75054,0.14102,0.67043
2.75058,0.14649,0.67035
2.75062,0.15111,0.67023
2.75065,0.15286,0.67021
2.75069,0.15348,0.67061
2.75073,0.14718,0.67062
2.75076,0.14057,0.67087
2.7508,0.12857,0.67107
2.75084,0.12072,0.67075
2.75087,0.11131,0.67058
2.75091,0.10245,0.67052
2.75094,0.09965,0.67059
2.75098,0.09789,0.67042
2.75102,0.0941,0.6703
2.75105,0.092,0.67038
2.75109,0.08998,0.67059
2.75113,0.092,0.67064
2.75116,0.09502,0.67067
2.7512,0.10553,0.67068
2.75123,0.11366,0.67062
2.75127,0.12366,0.67066
2.75131,0.13083,0.6705
2.75134,0.1368,0.67027
2.75138,0.14394,0.67024
2.75142,0.14838,0.67031
2.75145,0.14901,0.67051
2.75149,0.14564,0.67069
2.75152,0.14353,0.6708
2.75156,0.13985,0.67107
2.7516,0.13278,0.67099
2.75163,0.12467,0.67121
2.75167,0.11659,0.67097
2.75171,0.11235,0.67079
2.75174,0.10524,0.67071
2.75178,0.09839,0.67091
2.75182,0.08945,0.67083
2.75185,0.08331,0.67076
2.75189,0.08119,0.67061
2.75192,0.08195,0.67051
2.75196,0.08379,0.67046
2.752,0.0862,0.67041
2.75203,0.09472,0.67066
2.75207,0.10568,0.67062
2.75211,0.11518,0.6706
2.75214,0.11955,0.67036
2.75218,0.12993,0.67036
2.75221,0.13437,0.67025
2.75225,0.14296,0.67064
2.75229,0.14108,0.67069
2.75232,0.14158,0.67084
2.75236,0.13579,0.67099
2.7524,0.1334,0.671
