0,-62.54374
6.10E-04,-62.78364
0.00122,-67.57594
0.00183,-72.69464
0.00244,-77.56409
0.00305,-76.17499
0.00366,-75.26017
0.00427,-73.55797
0.00488,-73.82031
0.00549,-73.56533
0.0061,-74.70884
0.00671,-78.63686
0.00732,-78.83363
0.00793,-73.82371
0.00854,-68.94354
0.00916,-66.60691
0.00977,-67.21489
0.01038,-70.72578
0.01099,-73.10619
0.0116,-74.36297
0.01221,-75.58915
0.01282,-76.35949
0.01343,-77.16931
0.01404,-77.77411
0.01465,-76.54424
0.01526,-76.37118
0.01587,-78.10015
0.01648,-77.8128
0.01709,-78.31211
0.0177,-77.10662
0.01831,-77.23147
0.01892,-78.36043
0.01953,-80.57007
0.02014,-75.16416
0.02075,-74.45963
0.02136,-76.78037
0.02197,-76.2752
0.02258,-76.15784
0.02319,-75.2278
0.0238,-74.04458
0.02441,-71.71742
0.02502,-71.65935
0.02563,-70.55275
0.02625,-70.74474
0.02686,-75.77809
0.02747,-74.67004
0.02808,-72.28497
0.02869,-71.15098
0.0293,-71.7511
0.02991,-72.60003
0.03052,-74.57294
0.03113,-76.30953
0.03174,-78.709
0.03235,-73.22172
0.03296,-71.2351
0.03357,-70.9679
0.03418,-71.00269
0.03479,-73.25465
0.0354,-76.84663
0.03601,-74.50037
0.03662,-74.1254
0.03723,-73.23187
0.03784,-73.92699
0.03845,-74.35398
0.03906,-75.01208
0.03967,-74.51334
0.04028,-72.54577
0.04089,-73.07635
0.0415,-74.68239
0.04211,-77.13912
0.04272,-79.0208
0.04333,-77.53487
0.04395,-72.42344
0.04456,-66.97279
0.04517,-63.83161
0.04578,-63.53303
0.04639,-65.6857
0.047,-69.82062
0.04761,-73.90111
0.04822,-72.84184
0.04883,-62.6702
0.04944,-57.16869
0.05005,-55.2638
0.05066,-56.62838
0.05127,-61.42051
0.05188,-68.92756
0.05249,-72.1927
0.0531,-71.08182
0.05371,-67.07394
0.05432,-64.60645
0.05493,-65.11002
